101,Rok,Cislo,Strana
001586469,1947,422,3
001586484,1939,357,9
001586485,1939,364,9
001586486,1939,575,9
001586487,1938,66,9
001586489,1940,608,9
001586498,1942,173,9
001586499,1942,117,9
001586516,1943,569,9
001586517,1936,156,7
001586534,1943,544,9
001586556,1945,384,7
001586557,1945,378,4
001586562,1940,263,9
001586563,1936,265,7
001586564,1936,377,9
001586630,1946,296,3
001586631,1944,106,9
001586632,1944,352,7
001586647,1946,618,7
001586648,1946,8,7
001586649,1946,528,6
001586650,1946,246,2
001586651,1944,615,9
001586674,1938,536,9
001586677,1941,65,10
001586680,1947,12,2
001586684,1929,624,7
001586691,1941,354,7
001586693,1941,583,9
001586694,1941,122,9
001586695,1941,295,9
001586702,1919,82,1
001586734,1910,238,1
001586790,1945,116,8
001586797,1945,656,7
001586825,1909,58,5
001586841,1945,3,3
001586872,1933,103,7
001586890,1937,60,9
001586891,1937,486,10
001586917,1948,333,7
001586918,1947,507,7
001586919,1946,603,7
001586920,1944,128,9
001586936,1940,79,9
001586937,1947,412,3
001586938,1947,350,2
001586952,1941,96,1
001586965,1941,439,9
001586994,1925,1,1
001586995,1938,68,9
001586997,1944,89,9
001586998,1901,18,2
001587011,1939,227,7
001587012,1939,505,12
001587013,1939,555,9
001587015,1911,190,6
001587037,1935,464,7
001587132,1935,101,2
001587133,1935,647,21
001587134,1939,642,3
001587141,1937,36,5
001587142,1937,138,4
001587143,1937,217,2
001587144,1943,365,5
001587145,1945,308,5
001587146,1945,145,2
001587147,1945,177,5
001587148,1945,118,12
001587149,1945,250,5
001587150,1945,95,3
001587151,1945,83,2
001587152,1945,74,2
001587153,1945,58,7
001587154,1945,15,9
001587155,1945,8,3
001587156,1943,518,4
001587164,1938,497,3
001587166,1936,658,1
001587167,1936,115,8
001587168,1936,186,5
001587169,1936,150,2
001587170,1936,565,1
001587174,1936,269,34
001587175,1936,495,1
001587176,1936,367,4
001587177,1936,331,17
001587179,1946,486,4
001587180,1950,235,3
001587181,1950,70,3
001587182,1950,185,3
001587183,1950,109,3
001587184,1950,57,1
001587185,1950,96,3
001587186,1950,148,3
001587187,1952,182,4
001587188,1950,324,3
001587189,1950,57,9
001587190,1950,222,3
001587191,1950,122,3
001587192,1950,211,3
001587193,1950,272,3
001587194,1950,1,1
001587195,1950,83,3
001587196,1950,70,3
001587197,1950,57,1
001587198,1950,83,3
001587199,1950,148,3
001587200,1950,135,3
001587201,1950,122,3
001587202,1950,109,3
001587203,1950,96,3
001587204,1950,135,3
001587205,1950,198,3
001587206,1950,161,4
001587207,1950,198,3
001587208,1950,185,3
