,101,Rok,Cislo,Strana,URL
49,1593508,1943,318.0,7.0,https://www.ndk.cz/view/uuid:6170d660-6f4e-11dd-99b7-000d606f5dc6?page=uuid:df4c50bf-cc90-47fa-b0d8-e1ed2d1eeea5
50,1593508,1943,318.0,7.0,https://www.ndk.cz/view/uuid:98d7e1c0-6f4e-11dd-9557-000d606f5dc6?page=uuid:09de805c-3abf-4001-9a47-bcba24d6c79b
51,1586165,1918,11.0,2.0,https://www.ndk.cz/view/uuid:25386ee0-61e6-11dc-93b0-000d606f5dc6?page=uuid:f8e41ed6-dcdb-4759-b60d-64ecc889ab6c
52,1586400,1941,615.0,3.0,https://www.ndk.cz/view/uuid:5afa5780-6a1b-11dd-a8e7-000d606f5dc6?page=uuid:9071cd0f-79d0-4b3b-b2ec-a9a284944757
53,1586402,1941,441.0,10.0,https://www.ndk.cz/view/uuid:e68975b0-6a02-11dd-a4fc-000d606f5dc6?page=uuid:13a8fe9f-722e-4fd2-bad8-e2bff3715987
54,1586421,1938,316.0,6.0,https://www.ndk.cz/view/uuid:4ea839d0-840a-11dd-abd2-000d606f5dc6?page=uuid:ceadc580-2b86-4d05-869a-d21f2474fdf9
55,1586422,1938,306.0,2.0,https://www.ndk.cz/view/uuid:45c334f0-8356-11dd-b286-000d606f5dc6?page=uuid:6188d353-dbb4-4d15-b3a8-91475c330c8c
56,1586425,1939,634.0,4.0,https://www.ndk.cz/view/uuid:f268f3c0-53ea-11dd-8391-000d606f5dc6?page=uuid:2c9aa0a9-d473-443e-9b09-ac86f5df6c5c
57,1586459,1935,109.0,7.0,https://www.ndk.cz/view/uuid:ce170640-1c5b-11dd-a49c-000d606f5dc6?page=uuid:87fa48ec-f2e5-44bd-9534-7ab8ceb93341
58,1586841,1945,3.0,3.0,https://www.ndk.cz/view/uuid:c90f3610-63e9-11dd-920f-000d606f5dc6?page=uuid:acfcf65e-742a-430e-9eef-8cacfc3b5d65
59,1586872,1933,103.0,7.0,https://www.ndk.cz/view/uuid:df8a73f0-e6ee-11dc-8b23-000d606f5dc6?page=uuid:2f4eaee5-a961-406c-8dab-69f71173deb5
60,1586936,1940,79.0,9.0,https://www.ndk.cz/view/uuid:b884b150-5735-11dd-94ab-000d606f5dc6?page=uuid:5c63cdc1-e6db-4d32-a00c-fca6048911d4
61,1586952,1941,96.0,1.0,https://www.ndk.cz/view/uuid:c97980d0-49e3-11dd-ab3d-000d606f5dc6?page=uuid:ea743192-b2be-4bfa-bcd6-6044fe5688ab
62,1586994,1925,1.0,1.0,https://www.ndk.cz/view/uuid:de155f20-82e0-11dc-a91f-000d606f5dc6?page=uuid:f3e43889-e7c1-433e-bc4c-de396cc5123f
63,1586998,1901,18.0,2.0,https://www.ndk.cz/view/uuid:b8746c80-435d-11dd-b505-00145e5790ea?page=uuid:2c372952-121e-45b6-8776-2b290419a794
64,1587013,1939,555.0,9.0,https://www.ndk.cz/view/uuid:3260c890-53e6-11dd-845f-000d606f5dc6?page=uuid:aeb39010-13b2-4a0d-8f04-23bb50333d48
65,1587132,1935,101.0,2.0,https://www.ndk.cz/view/uuid:be8751b0-20bd-11dd-997b-000d606f5dc6?page=uuid:b45a32d5-c0f0-4db6-94ff-fd986ed24af8
