001588105,35:592<3
001588106,35:594<7
001588107,35:632<7
001588113,36:236<7
001588116,37:277<9
001588118,37:574<7
001588120,38:600<1
001588121,38:648<12
001588124,43:161<4
001588125,43:301<9
001588126,43:309<9
001588127,43:387<2
001588129,45:190<1
001588146,19:78<1
001588186,38:653<1
001588191,24:13<4
001588194,24:306
001588195,24:339
001588196,24:343<1
001588199,25:45<1
001588203,25:356<2
001588221,44:586<6
001588223,48:40<7
001588239,41:512<2
001588254,39:4<5
001588256,44:620<4
001588269,44:347<7
001588279,47:48<3
001588280,47:46<2
001588346,38:196<5
001588350,47:175<5
001588351,43:531<9
001588354,47:174<2
001588396,39:401<1
001588540,39:344<9
001588548,43:577<2
001588558,19:326<1
001588563,35:616<1
001588591,28:217<5
001588592,28:287<10
001588593,36:576<7
001588601,2:2<2
001588617,19:257<3
001588618,17:33<5
001588619,18:272<3
001588632,43:172<9
001588633,45:99<9
001588634,42:235<9
001588636,42:182<9
001588637,46:327<7
001588661,28:127<9
001588662,40:537<9
001588663,29:605<7
001588743,45:596<2
001588744,45:598<4
001588773,49:98<9
001588777,46:607<7
001588805,38:348<7
001588806,47:417<7
001588807,47:327<3
001588809,48:7<7
001588810,48:224<9
001588811,19:334<3
001588820,46:18<7
001588829,48:498<7
001588834,46:239<7
001588835,46:1<9
001588836,41:222<9
001588892,2:2<2
001588900,19:189<4
001588901,19:228<3
001588902,19:329<1
001588903,19:328<3
001588904,18:6<3
001588905,18:321<3
001588910,47:351<2
001588948,45:279<3
001589010,46:332<5
001589011,35:526<7
001589029,46:176<7
001589039,39:331<9
001589050,41:91<9
001589052,44:354<9
001589053,46:526<6
001589054,40:305<9
001589061,45:521<7
001589076,45:370<3
001589079,45:367<3
001589093,36:96<7
001589094,49:96<7
001589107,43:142<9
001589109,45:523<7
001589118,37:275<7
001589122,43:531<9
001589152,36:302<7
001589162,36:322<7
001589165,39:379<3
001589173,41:133<9
001589182,47:22<7
001589387,43:589<2
001589407,9:115<3
001589408,47:419<7
001589413,35:477<7
001589415,37:512<7
001589416,37:581<7
001589418,45:288<7
001589419,38:562<9
001589427,45:161<4
001589429,48:138<9
001589486,28:500<9
001589490,29:605<7
001589496,38:241<1
001589518,45:12<7
001589583,38:273<5
001589771,45:61<4
001589779,19:329<1
001589781,39:431<1
001589793,45:90<9
001589794,43:263<9
001589831,2:17<4
001589838,45:330<7
001589839,45:157<9
001589840,45:259<1
001589841,45:20<2
001589842,43:198<9
001589869,37:648<7
001589870,37:600<7
001589871,37:508<7
001589888,32:23<5
001589889,34:124<7
001589890,34:582<9
001589892,43:268<9
001589893,43:131<9
001589894,43:33<9
001589895,43:7<2
001589896,43:339<7
001589959,42:41<9
001589974,45:40<2
001589975,45:38<3
001589977,43:526<9
001589990,43:22<1
001590014,17:237<3
001590021,44:217<9
001590022,44:160<9
001590023,46:226<7
001590024,46:57<7
001590028,41:531<9
001590038,51:29<4
001590040,48:255<7
001590052,49:519<7
001590054,49:81<7
001590068,36:639<6
001590080,46:337<7
001590084,19:42<1
001590129,38:271<7
001590143,47:120<7
001590144,41:70<9
001590145,39:235<9
001590146,38:213<9
001590147,44:356<7
001590148,44:128<9
001590149,35:26<9
001590160,41:50<9
001590161,38:540<9
001590166,35:493<7
001590188,41:561<9
001590189,35:288<7
001590195,39:499<7
001590196,39:603<9
001590203,19:50<1
001590221,39:418<9
001590222,47:353<7
001590224,40:447<9
001590235,47:68<4
001590237,46:626<3
001590239,47:68<2
001590242,47:2<5
001590272,36:345<7
001590273,36:478<8
001590274,36:311<3
001590280,39:442<7
001590302,46:337<7
001590304,40:40<10
001590317,41:10<9
001590318,42:358<9
001590319,39:14<9
001590321,41:654<5
001590322,41:483<9
001590334,35:498<3
001590371,45:118<9
001590372,45:58<9
001590373,36:137<7
001590374,43:144<9
001590375,43:215<9
001590376,43:273<9
001590377,43:329<9
001590378,35:609<9
001590379,41:217<11
001590380,38:508<9
001590381,41:322<10
001590382,45:630<9
001590383,37:187<7
001590384,38:148<9
001590385,36:22<7
001590386,29:626<7
001590387,29:643<9
001590388,41:636<10
001590393,36:647<9
001590395,45:263<7
001590396,45:4<10
001590397,45:650<7
001590398,45:639<7
001590399,45:347<7
001590400,43:597<10
001590401,44:191<7
001590402,45:66<9
001590420,38:379<7
001590427,45:568<7
001590428,48:70<7
001590429,45:645<7
001590430,49:118<7
001590438,41:406<9
001590439,47:432<7
001590694,35:614<7
001590703,38:616<9
001590710,18:183<1
001590735,45:21<2
001590807,45:609<8
001590825,39:194<7
001590837,36:244<3
001590903,45:129<9
001590904,34:101<7
001590907,35:539<7
001590912,41:644<12
001590921,46:105<2
001590939,35:555<7
001590949,36:148<7
001590950,36:313<7
001590961,41:495<9
001590992,35:107<7
001590993,35:122<7
001590994,35:174<7
001591001,45:340<7
001591054,46:85<7
001591067,41:575<2
001591305,36:218<7
001591373,39:272<3
001591376,36:355<9
001591390,48:604<7
001591393,35:91<9
001591397,44:485<3
001591404,4:100<2
001591414,38:16<9
001591418,45:310<2
001591444,46:191<7
001591463,43:79<9
001591473,46:324<7
001591474,46:279<7
001591475,46:189<7
001591476,46:122<7
001591477,44:622<9
001591481,44:491<9
001591482,39:142<9
001591483,39:632<9
001591485,48:508<9
001591486,39:575<2
001591503,35:229<7
001591507,38:44<9
001591508,47:579<3
001591509,42:535<9
001591618,35:364<7
001591627,46:40<5
001591628,49:98<10
001591629,43:62<5
001591630,45:79<9
001591631,43:476<9
001591632,48:534<1
001591633,3:71<3
001591634,47:462<7
001591635,29:447<9
001591699,43:231<1
001591734,38:409<7
001591735,43:150<9
001591749,36:654<7
001591756,49:209<7
001591835,39:362<9
001591840,41:600<9
001591843,44:270<9
001591844,44:149<9
001591846,33:25<7
001591847,39:233<9
001591848,39:133<9
001591849,38:77<7
001591850,35:176<7
001591851,35:396<7
001591879,47:42<4
001591880,37:21<5
001591884,38:85<2
001591907,36:432<9
001591940,17:66<7
001591941,47:37<8
001591942,47:522<7
001591943,47:211<9
001591945,48:498<7
001591946,48:606<7
001591966,35:581<7
001591980,44:644<2
001591981,45:223<2
001592025,2:183<2
001592026,47:456<7
001592027,48:272<7
001592030,45:537<5
001592040,29:351<9
001592080,35:523<9
001592082,33:39<2
001592085,33:25<7
001592109,36:76<8
001592123,41:87<9
001592124,46:658<7
001592125,46:88<2
001592126,46:325<8
001592128,47:4<3
001592129,41:169<2
001592130,47:31<7
001592131,47:1<2
001592160,35:619<7
001592166,39:564<9
001592294,47:55<3
001592345,19:287<2
001592383,36:659<1
001592694,38:421<5
001592695,38:403<7
001592703,35:16<7
001592704,35:104<9
001592725,43:22<9
001592810,36:595<7
001592818,44:43<1
001592845,46:189<7
001592846,46:616<7
001592849,44:52<9
001592850,47:33<7
001592853,47:528<7
001592854,47:320<7
001592855,48:231<8
001592856,43:88<5
001592857,43:85<9
001592858,44:221<10
001592859,44:500<9
001592860,50:60<7
001592861,50:322<4
001592862,51:347<4
001592886,28:198<10
001592894,44:589<9
001592904,47:641<3
001592927,38:81<9
001592929,36:628<7
001592932,39:609<9
001592933,36:218<7
001592934,34:545<9
001592935,38:181<7
001592936,36:636<7
001592937,39:342<9
001592938,35:619<7
001592939,47:322<7
001592957,35:609<9
001592962,41:585<9
001592968,39:615<7
001593041,43:74<9
001593042,43:131<9
001593043,3:172<9
001593044,43:229<9
001593045,43:293<9
001593046,43:402<7
001593047,36:284<7
001593049,36:424<7
001593054,43:505<9
001593056,35:564<7
001593057,48:141<7
001593058,42:121<9
001593059,42:182<9
001593060,48:27<7
001593061,48:318<7
001593068,40:68<9
001593071,46:243<9
001593072,46:434<7
001593078,41:246<9
001593097,47:180<7
001593099,38:501<9
001593103,45:49<9
001593135,35:598<7
001593138,37:643<9
001593139,35:331<9
001593140,36:238<7
001593141,36:241<1
001593146,44:356<7
001593147,46:365<7
001593148,44:480<9
001593149,41:409<7
001593150,47:172<7
001593151,47:135<7
001593152,47:66<3
001593154,38:508<9
001593155,39:338<9
001593156,38:387<7
001593157,38:44<9
001593159,40:9<7
001593162,36:623<9
001593166,36:242<9
001593167,37:646<9
001593169,45:118<9
001593170,37:536<9
001593171,37:370<7
001593175,37:412<9
001593176,43:259<9
001593277,41:189<7
001593278,41:598<10
001593279,48:407<7
001593308,38:161<7
001593327,44:589<3
001593378,38:618<9
001593508,43:318<7
001593509,43:124<9
001593560,37:628<19
001593561,37:639<9
001593562,37:37<8
001593715,45:7<7
001593741,36:580<7
001593744,38:216<9
001593749,43:468<9
001593750,44:272<9
001593751,43:621<9
001593752,45:45<9
001593753,45:107<9
001593754,45:190<9
001593755,45:203<9
001593761,42:494<7
001593762,42:171<5
001593772,43:237<14
001593773,43:31<5
001593774,43:7<2
001593827,39:574<2
001593858,36:403<9
001593859,36:218<7
001593883,44:510<9
001593888,45:88<9
001593896,39:235<10
001593898,37:600<7
001593899,35:274<7
001593908,38:6<9
