Rok,Cislo,Strana,URL
1936,643,4,https://www.ndk.cz/view/uuid:6d994760-3623-11dd-ab69-000d606f5dc6?page=uuid:b317121b-432f-47d4-a4be-5336fe87ae71
1936,637,16,https://www.ndk.cz/view/uuid:0af306b0-3622-11dd-a7bb-000d606f5dc6?page=uuid:d884fa01-f97e-4ee5-ace1-cfb474c20b89
1936,517,7,https://www.ndk.cz/view/uuid:d0422630-378f-11dd-acde-000d606f5dc6?page=uuid:b58ee80f-6468-473d-bb6b-9db172f478f3
1935,490,7,https://www.ndk.cz/view/uuid:36ed1cc0-2339-11dd-8441-000d606f5dc6?page=uuid:f3eb3da1-a7f7-4ddc-95a1-4e0ad1938419
1936,187,3,https://www.ndk.cz/view/uuid:6c6fb040-2d77-11dd-9cc3-000d606f5dc6?page=uuid:eb05cce6-0aae-4019-90a5-b5a2f5890417
1936,509,10,https://www.ndk.cz/view/uuid:5d93cf60-378c-11dd-bf6f-000d606f5dc6?page=uuid:ab6ff612-b228-4735-8f46-2aedc05c6886
1936,473,10,https://www.ndk.cz/view/uuid:343ffe50-36e6-11dd-bd5b-000d606f5dc6?page=uuid:fadf1f59-793d-4718-a03a-135fbff953bd
1936,460,3,https://www.ndk.cz/view/uuid:91b7a6a0-3e2f-11dd-859d-000d606f5dc6?page=uuid:b3efc590-0913-48d1-ab5f-02fbf96137cf
1936,417,12,https://www.ndk.cz/view/uuid:8b808b80-30c9-11dd-bebe-000d606f5dc6?page=uuid:eda959a1-11d3-477e-8be3-b214f13bad6a
1936,497,17,https://www.ndk.cz/view/uuid:08fd05f0-3789-11dd-83ec-000d606f5dc6?page=uuid:b2450841-5b40-4525-8384-3d75e7879505
1936,472,5,https://www.ndk.cz/view/uuid:1ba52a50-36e6-11dd-b5e4-000d606f5dc6?page=uuid:69a20259-2864-4479-8877-0b22e5dc92db
1936,459,9,https://www.ndk.cz/view/uuid:9e8bae20-36ce-11dd-8025-000d606f5dc6?page=uuid:a8baf2d8-506f-4d3f-83f5-d2abc161277c
1936,102,2,https://www.ndk.cz/view/uuid:7ddf8260-2697-11dd-aabf-000d606f5dc6?page=uuid:b93efeaa-76ab-4658-b462-00f8470e979b
1936,45,11,https://www.ndk.cz/view/uuid:3c236e90-3943-11dd-bb96-000d606f5dc6?page=uuid:c1980fb3-d734-48ab-9759-f7423173a579
1935,375,1,https://www.ndk.cz/view/uuid:bee9efd0-2349-11dd-9da3-000d606f5dc6?page=uuid:8910081b-50b9-44f0-ae8f-66e13d8d31be
1935,288,12,https://www.ndk.cz/view/uuid:44f92280-25b1-11dd-9d28-000d606f5dc6?page=uuid:69ca1eb2-0fbd-49e8-adb9-3beaf79c16eb
1935,269,3,https://www.ndk.cz/view/uuid:482e22d0-2682-11dd-a55c-000d606f5dc6?page=uuid:e6d6d563-8e5c-4cee-a595-07e659e56f0d
1935,497,1,https://www.ndk.cz/view/uuid:a5eb03d0-25af-11dd-850b-000d606f5dc6?page=uuid:709dba09-99ca-4579-a38e-f25482b7d2ec
1935,313,7,https://www.ndk.cz/view/uuid:58389c40-25bb-11dd-9910-000d606f5dc6?page=uuid:9e70102f-ae79-4355-8740-8738e2eca166
1935,424,5,https://www.ndk.cz/view/uuid:b1ef42d0-274f-11dd-8623-000d606f5dc6?page=uuid:e64c1419-b7c7-4952-bc30-cb9edd262d94
1935,415,5,https://www.ndk.cz/view/uuid:0d1284c0-274f-11dd-ad28-000d606f5dc6?page=uuid:024f62b7-0010-46b8-91cc-c6f830ba92f4
1935,335,8,https://www.ndk.cz/view/uuid:45ca8a00-2345-11dd-821f-000d606f5dc6?page=uuid:a572fffe-fc45-46e3-8470-fc5fb7b3ee1b
1935,113,1,https://www.ndk.cz/view/uuid:326bd3c0-1c7d-11dd-960b-000d606f5dc6?page=uuid:a20293ca-4406-45f7-b42c-18feeddf6705
1935,133,4,https://www.ndk.cz/view/uuid:e760f440-1c82-11dd-bdd2-000d606f5dc6?page=uuid:eb3d34a7-7ef7-4530-93ea-67e422b7e0f6
1935,252,15,https://www.ndk.cz/view/uuid:7a8bc8f0-25e6-11dd-9b83-000d606f5dc6?page=uuid:b65958b9-340e-4c62-9816-b66313bb10c8
1935,486,11,https://www.ndk.cz/view/uuid:77c0fa10-25ef-11dd-9489-000d606f5dc6?page=uuid:df29e6c4-5e7c-4611-b7c9-23e45cf4908a
1936,648,4,https://www.ndk.cz/view/uuid:40871f70-3625-11dd-802f-000d606f5dc6?page=uuid:e81f29b1-8a31-4f75-b5be-520611ae3d1e
1936,270,13,https://www.ndk.cz/view/uuid:df042a80-2e4b-11dd-aca7-000d606f5dc6?page=uuid:e0f0a570-dec8-44a7-a682-8ae624cb7640
1935,199,3,https://www.ndk.cz/view/uuid:51db35d0-2258-11dd-b433-000d606f5dc6?page=uuid:06cd4845-990d-44af-be79-457e5177db67
1935,341,4,https://www.ndk.cz/view/uuid:c057ad70-2345-11dd-97a9-000d606f5dc6?page=uuid:3b9e61e6-fc98-448b-8b36-b1d0c14ca9c8
1935,33,5,https://www.ndk.cz/view/uuid:66299070-1de1-11dd-92f6-000d606f5dc6?page=uuid:727d8b73-cb04-4848-b0cc-7e46410abeb8
1935,487,14,https://www.ndk.cz/view/uuid:b7093bb0-25ef-11dd-9329-000d606f5dc6?page=uuid:333b601d-86ab-4455-a6de-122d6cf1b746
1935,639,11,https://www.ndk.cz/view/uuid:91ddbfa0-269e-11dd-a9a1-000d606f5dc6?page=uuid:a38cce38-2506-4857-9149-7dee22693f76
1935,399,6,https://www.ndk.cz/view/uuid:259a09c0-274d-11dd-bf3d-000d606f5dc6?page=uuid:07d328b0-2f85-47bb-90e3-c425feef521e
1935,582,2,https://www.ndk.cz/view/uuid:7dabdf50-2683-11dd-becb-000d606f5dc6?page=uuid:b2fa7c32-1119-4103-a04b-d06270db120b
1935,539,10,https://www.ndk.cz/view/uuid:15cf2920-269a-11dd-bad5-000d606f5dc6?page=uuid:d76df2d2-74e3-4200-80ce-5cff92f185f4
1935,306,10,https://www.ndk.cz/view/uuid:cd501290-25b8-11dd-94e0-000d606f5dc6?page=uuid:eb3b3f92-7edd-43e3-be00-9379f50292b6
1935,329,1,https://www.ndk.cz/view/uuid:099f5c50-2344-11dd-b20d-000d606f5dc6?page=uuid:81d52163-0a3b-4f31-997b-b1be50c77cc0
1935,645,13,https://www.ndk.cz/view/uuid:159a3240-26a1-11dd-8720-000d606f5dc6?page=uuid:bc52e840-038c-4827-8dfd-da17c820ea35
1936,486,7,https://www.ndk.cz/view/uuid:297037a0-3e0d-11dd-9990-000d606f5dc6?page=uuid:319ea62e-5669-4caa-af73-5ffb59f1f8b9
1935,612,11,https://www.ndk.cz/view/uuid:59f21490-2696-11dd-88e8-000d606f5dc6?page=uuid:8014df0b-8125-4be0-9c6c-d16c0e8c6899
1935,63,3,https://www.ndk.cz/view/uuid:681dc0e0-20b6-11dd-b4d9-000d606f5dc6?page=uuid:abcd8356-4f86-49e8-b13a-ae22b3164e0e
1936,63,7,https://www.ndk.cz/view/uuid:d272d920-2689-11dd-b283-000d606f5dc6?page=uuid:e610d624-65d3-4ab4-b79a-1cd5a4a4c9a1
1935,537,3,https://www.ndk.cz/view/uuid:18a5f730-2697-11dd-9a9b-000d606f5dc6?page=uuid:76daabcc-3177-4d66-af0f-f5bac75611e6
1936,236,5,https://www.ndk.cz/view/uuid:ba740650-2e45-11dd-9acc-000d606f5dc6?page=uuid:06b26015-dc6e-4cc7-91c3-a852806adea6
1936,571,14,https://www.ndk.cz/view/uuid:acc50940-3413-11dd-ab66-000d606f5dc6?page=uuid:b020a8c3-3f72-4b3c-a56d-c76dbd0cb37d
1936,223,14,https://www.ndk.cz/view/uuid:a128b8f0-2e43-11dd-9a72-000d606f5dc6?page=uuid:762e0ddc-354a-49ad-9de1-1b01375482d6
1936,138,4,https://www.ndk.cz/view/uuid:7fb266b0-2d73-11dd-b3b8-000d606f5dc6?page=uuid:90db5b62-1641-4679-b8ef-f16cd4f2742a
1936,298,5,https://www.ndk.cz/view/uuid:2e8302c0-30b3-11dd-b29b-000d606f5dc6?page=uuid:4a5020a4-a588-4284-8f85-92c355565c08
1936,617,6,https://www.ndk.cz/view/uuid:0e600ab0-3284-11dd-be59-000d606f5dc6?page=uuid:5709e0b0-d789-412a-bfa5-d4417cff4192
1936,622,4,https://www.ndk.cz/view/uuid:71043c60-3331-11dd-a42a-000d606f5dc6?page=uuid:5d7068a3-5376-44b1-aaf5-729775463540
1936,606,11,https://www.ndk.cz/view/uuid:8d933fe0-332f-11dd-adef-000d606f5dc6?page=uuid:e149c5c8-23f9-40ca-873b-1d0ee6320083
1936,319,1,https://www.ndk.cz/view/uuid:7eb83810-30bc-11dd-9273-000d606f5dc6?page=uuid:3980add5-dac4-442d-85d4-cd53a3713d15
1936,172,5,https://www.ndk.cz/view/uuid:636877f0-2d74-11dd-84d0-000d606f5dc6?page=uuid:10c9a7b0-5602-4928-87d8-dc7438d42593
1936,126,10,https://www.ndk.cz/view/uuid:eb9d2f80-2cb6-11dd-b80a-000d606f5dc6?page=uuid:9546e9b2-d93f-47c8-a2dc-1c700d82923e
